#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
en-US	1	1	1	1	"ज़ाहिद की मुर्गी ने कल 6 अंडे और आज 3 अंडे दिए। ज़ाहिद की मुर्गी ने कितने अंडे दिए?"	زاہد کی مرغی نے کل 6 انڈے اور آج 3 انڈے دیے۔ کل ملاکر زاہد کی مرغی نے کتنے انڈے  دیے؟	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	1	2	1	"फेंस पर 2 पक्षी बैठे थे। 4 और पक्षी जुड़े। कितने पक्षी फेंस पर हैं?"	2 پرندے باڑ پر بیٹھے تھے۔ 4 مزید پرندے ان میں شامل ہو گئے۔ کتنے پرندے باڑ پر ہیں؟	6	7	8	9	birds	birds	birds	birds	2 + 4 = <6>	1	2	4	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	1	1	3	1	"जब वह स्कूल में गणित करती है, सूबी स्टार स्टिकर कमाती है। कल, सूबी ने 4 स्टार कमाए। आज उसने ३ और कमाए। सूबी ने सभी में कितने स्टार कमाए?"	صوبی کواسکول میں ریاضی کے سوال حل کرنے پر اسٹار اسٹیکرز ملتے ہئیں۔ کل، صوبی کو  4 اسٹار اسٹیکرزملے۔ آج، اسنے 3 مزید حاصل کئیے۔ کل ملاکر صوبی کے پاس کتنے اسٹار اسٹیکرزہیں؟	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	1	4	1	"तालिब के पास 6 किताबें हैं। जाबिर के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	طالب کے پاس 6 کتابیں ہیں۔ جابر کے پاس 2 کتابیں ہیں۔ کل ملاکر کتنی کتابیں ہیں؟	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	1	5	1	"नूरी ने दोपहर के भोजन में 3 याम और रात के खाने में 5 याम परोसे। दिन में कितने याम परोसे गए?"	نوری نے دوپہر کے کھانے میں ٣ یام اور رات کے کھانے میں ٥ یام پروسے. کل ملاکر دن میں کتنے یام پروسے گئے؟	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	1	1	"तालिब के पास 6 किताबें हैं। जाबिर के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	طالب کے پاس 6 کتابیں ہیں۔ جابر کے پاس 2 کتابیں ہیں۔ کل ملاکر کتنی کتابیں ہیں؟	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	2	2	1	"नूरी ने दोपहर के भोजन में 3 याम और रात के खाने में 5 याम परोसे। दिन में कितने याम परोसे गए?"	نوری نے دوپہر کے کھانے میں ٣ یام اور رات کے کھانے میں ٥ یام پروسے. کل ملاکر دن میں کتنے یام پروسے گئے؟	4	6	8	10	yams	yams	yams	yams	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	1	2	3	1	"7 रेड एप्पल और 2 ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?"	7 سرخ سیب اور 2 سبز سیب ٹوکری میں ہیں. کتنے سیب ٹوکری میں ہیں؟	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	1	2	4	1	"साबिरा ने सुबह 5 मछलियाँ पकड़ीं। उसने दोपहर में 4 और मछलियाँ पकड़ीं। साबिरा ने कुल कितनी मछली पकड़ीं?"	صابرہ نے صبح 5 مچھلیاں پکڑی. اس نے دوپہر میں 4 اور مچھلیاں پکڑی. صابرہ نے سب ملکر کتنی مچھلیاں پکڑی؟	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	1	2	5	1	"जब वह स्कूल में गणित करती है, सूबी स्टार स्टिकर कमाती है। कल, सूबी ने 4 स्टार कमाए। आज उसने 3 और कमाए। सूबी ने सभी में कितने स्टार कमाए?"	صوبی کواسکول میں ریاضی کے سوال حل کرنے پر اسٹار اسٹیکرز ملتے ہئیں. کل ، صوبی کو  ٤ اسٹار اسٹیکرزملے۔ آج ، اسنے 3 مزید حاصل کئیے. کل ملاکر صوبی کے پاسس کتنے اسٹار اسٹیکرزہیں؟	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	3	1	1	"7 रेड एप्पल और 2 ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?"	7 سرخ سیب اور 2 سبز سیب ٹوکری میں ہیں. کتنے سیب ٹوکری میں ہیں ؟	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png				
en-US	1	3	2	1	"ज़ाहिद की मुर्गी ने कल 6 अंडे और आज 3 अंडे दिए। ज़ाहिद की मुर्गी ने कितने अंडे दिए?"	زاہد کی مرغی نے کل 6 انڈے اور آج 3 انڈے دیے. کل ملاکر زاہد کی مرغی نے کتنے انڈے  دیے؟	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	3	3	1	"जब वह स्कूल में गणित करती है, सूबी स्टार स्टिकर कमाती है। कल, सूबी ने 4 स्टार कमाए। आज उसने 3 और कमाए। सूबी ने सभी में कितने स्टार कमाए?"	صوبی کواسکول میں ریاضی کے سوال حل کرنے پر اسٹار اسٹیکرز ملتے ہئیں. کل ، صوبی کو  ٤ اسٹار اسٹیکرزملے۔ آج ، اسنے 3 مزید حاصل کئیے. کل ملاکر صوبی کے پاسس کتنے اسٹار اسٹیکرزہیں؟	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	3	4	1	"तालिब के पास 6 किताबें हैं। जाबिर के पास 2 किताबें हैं। उनके पास सभी में कितनी किताबें हैं?"	طالب کے پاس 6 کتابیں ہیں۔ جابر کے پاس 2 کتابیں ہیں۔ کل ملاکر کتنی کتابیں ہیں؟	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	3	5	1	"साबिरा ने सुबह 5 मछलियाँ पकड़ीं। उसने दोपहर में 4 और मछलियाँ पकड़ीं। साबिरा ने कुल कितनी मछली पकड़ी?"	صابرہ نے صبح 5 مچھلیاں پکڑی. اس نے دوپہر میں 4 اور مچھلیاں پکڑی. صابرہ نے سب ملکر کتنی مچھلیاں پکڑی؟	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	1	1	4	"बख़्तियार के पास 2 मार्बल्स है। अलीज़ा के पास बख़्तियार की तुलना मे 3 अधिक मार्बल्स है। अलीज़ा के पास कितने मार्बल्स है?"	بختیار كے پاس 2 ماربلس ہیں . علیزہ كے پاس بختیار سے 3  ماربلس زیادہ ہیں . علیزہ كے پاس کل کتنے ماربلس ہیں ؟	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	1	2	4	"हाशिम के पास 4 डाक टिकट है। अकरम के पास हाशिम की तुलना मे 5 अधिक डाक टिकट है। अकरम के पास कितने डाक टिकट है?"	ہاشم كے پاس 4 ڈاک ٹکٹ ہیں۔ اکرم كے پاس ہاشم سے 5 ڈاک ٹکٹ زیادہ ہیں۔ اکرم كے پاس کتنے ڈاک ٹکٹ ہیں؟	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	1	3	4	"स्कूल मे दो खोया-पाया बक्से है। पहले बॉक्स मे, 5 टोपी है। दूसरे बॉक्स मे, पहले बॉक्स की तुलना मे 4 अधिक टोपी है। दूसरे बॉक्स मे कितनी टोपियाँ है?"	اسکول میں گمشدہ سامان ملنے کے 2 ڈبّے ہیں. پہلے ڈبّے میں 5 ٹوپیا ں ہیں. دوسرے ڈبّے میں پہلے ڈبّے سے 4 ٹوپیا ں زیادہ ہیں . دوسرے ڈبّے میں کل کتنی ٹوپیا ں ہیں؟	5	9	14	15	hats	hats	hats	hats	5 + 4 = <9>	2	5	9	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	2	1	4	4	"बब्लू ने गुड़िया की तुलना मे 3 अधिक पुस्तके खरीदी। गुड़िया ने एक किताब खरीदी। बब्लू ने कितनी किताबे खरीदी?"	ببلو نے گڑیا کی مقابلے 3 کتابیں زیادہ خریدی۔ اگر گڑیا نے 1 کتاب خریدی تھی تب ببلو نے کل کتنی کتاب خریدی؟	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	1	5	4	"दानिया के पास फतौ से 5 ज्यादा पहेलिया है। फतौ के पास 3 पहेलिया है। दानिया के पास कितनी पहेलिया है?"	دانیہ كے پاس فاتووکے مقابلے 5 زیادہ پہیلیاں ہیں. فلک كے پاس 3 پہیلیاں ہیں. دانیہ كے پاس کتنی پہیلیاں ہیں؟	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	2	1	4	"हाशिम के पास 4 डाक टिकट है। अकरम के पास हाशिम की तुलना मे 5 अधिक डाक टिकट है। अकरम के पास कितने डाक टिकट है?"	ہاشم كے پاس 4 ڈاک ٹکٹ ہیں۔ اکرم كے پاس ہاشم سے 5 ڈاک ٹکٹ زیادہ ہیں۔ اکرم كے پاس کتنے ڈاک ٹکٹ ہیں؟	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	2	2	4	"तबरेज़ के खेत मे 2 बकरियाँ है। उसके खेत पर बकरियो की तुलना मे 6 अधिक मुर्गिया है। उसके पास कितनी मुर्गिया है?"	تبریز كے کھیت میں 2 بکریاں ہیں. اسکے کھیت میں بکریوں کی تُلْنا میں 6 مرغیاں زیادہ ہیں. اسکے پاس کتنی مرغیاں ہیں ؟	2	6	8	12	chickens	chickens	chickens	chickens	2 + 6 = <8>	3	2	8	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	2	2	3	4	"सारा 5 साल की है। उसकी बहन क़ैसरी सारा से 2 साल बड़ी है। क़ैसरी की उम्र कितनी है?"	سارا 5 سال کی ہے. اسکی بہن قیصری سارا سے 2 سال بَڑی ہے. قیصری کی عمر کتنی ہے؟	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	2	4	4	"पुस्तकालय मे स्कूल कार्यालय की तुलना मे 5 अधिक टेबल है। स्कूल के कार्यालय मे 2 टेबल है। पुस्तकालय मे कितने टेबल है?"	اسکول آفس کی مقابلے لائبریری میں 5 میزیں زیادہ ہیں. اگر اسکول آفس میں 2 میزیں ہیں تو لائبریری میں کتنی میزیں ہیں؟	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	2	2	5	4	"बब्लू ने गुड़िया की तुलना मे 3 अधिक पुस्तके खरीदी। गुड़िया ने एक किताब खरीदी। बब्लू ने कितनी किताबे खरीदी?"	ببلو نے گڑیا کی مقابلے 3 کتابیں زیادہ خریدی۔ اگر گڑیا نے 1 کتاب خریدی تھی تب ببلو نے کل کتنی کتاب خریدی؟	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	3	1	4	"सारा 5 साल की है। उसकी बहन क़ैसरी सारा से 2 साल बड़ी है। क़ैसरी की उम्र कितनी है?"	سارا 5 سال کی ہے . اسکی بہن قیصری سارا سے 2 سال بَدی ہے . قیصری کی عمر کتنی ہے ؟	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	3	2	4	"हाशिम के पास 4 डाक टिकट है। अकरम के पास हाशिम की तुलना मे 5 अधिक डाक टिकट है। अकरम के पास कितने डाक टिकट है?"	ہاشم كے پاس 4 ڈاک ٹکٹ ہیں۔ اکرم كے پاس ہاشم سے 5 ڈاک ٹکٹ زیادہ ہیں۔ اکرم كے پاس کتنے ڈاک ٹکٹ ہیں؟	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	3	3	4	"बख़्तियार के पास 2 मार्बल्स है। अलीज़ा के पास बख़्तियार की तुलना मे 3 अधिक मार्बल्स है। अलीज़ा के पास कितने मार्बल्स है?"	بختیار كے پاس 2 ماربلس ہیں . علیزہ كے پاس بختیار سے 3  ماربلس زیادہ ہیں . علیزہ كے پاس کل کتنے ماربلس ہیں ؟	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	3	4	4	"दानिया के पास फतौ से 5 ज्यादा पहेलिया है। फतौ के पास 3 पहेलिया है। दानिया के पास कितनी पहेलिया है?"	دانیہ كے پاس فلک سے 5 زیادہ پوزلیس ہیں . فلک كے پاس 3 پوزلیس ہیں . دانیہ كے پاس کتنی پوزلیس ہیں ؟	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
