#languageTag	#level	#problem	#picture	#word_0	#word_0_loc	#word_0_voice	#word_1	#word_1_loc	#word_1_voice	#word_2	#word_2_loc	#word_2_voice	#word_3	#word_3_loc	#word_3_voice	#word_4	#word_4_loc	#word_4_voice	#word_5	#word_5_loc	#word_5_voice	#word_6	#word_6_loc	#word_6_voice
en-US	1	1	image_1_1.jpg	food	280.-1520	food	egg	1305.-725	egg	bread	253.-899	bread	milk	995.-1252	milk									
en-US	1	2	image_1_2.jpg	vegetables	280.-1520	vegetables	tomato	292.-607	tomato	potato	1298.-740	potato	onion	1078.-1243	onion									
en-US	1	3	image_1_3.jpg	fruits	280.-1520	fruits	banana	1247.-753	banana	orange	253.-899	orange	cherry	806.-1198	cherry									
en-US	1	4	image_1_4.jpg	tropical fruits	280.-1520	tropicalfruits	mango	1188.-1172	mango	pineapple	531.-1265	pineapple	coconut	531.-463	coconut									
en-US	2	1	image_2_1.jpg	fruits	280.-1520	fruits	apple	1116.-1019	apple	papaya	373.-577	papaya	grapes	1305.-448	grapes	peach	814.-1200	peach						
en-US	2	2	image_2_2.jpg	fruits	280.-1520	fruits	coconut	313.-692	coconut	shell	313.-457	shell	papaya	1239.-1282	papaya	seeds	1239.-1028	seeds						
en-US	2	3	image_2_3.jpg	drink	746.-944	drink	water	255.-446	water	milk	1333.-385	milk	juice	1307.-1392	juice	coffee	476.-1538	coffee	soda	774.-312	soda			
en-US	2	4	image_2_4.jpg	foods	280.-1520	foods	fruits	416.-1169	fruits	vegetables	1220.-518	vegetables	meat	423.-664	meat	grains	1161.-1190	grains						
en-US	3	1	image_3_1.jpg	family	280.-1520	family	mom	1280.-1315	mom	dad	248.-537	dad	brother	729.-518	brother	sister	949.-1163	sister						
en-US	3	2	image_3_2.jpg	family	280.-1520	family	grandmother	1108.-928	grandmother	grandfather	1304.-1259	grandfather	mother	899.-732	mother	father	608.-1285	father						
en-US	3	3	image_3_3.jpg	people	256.-1443	people	man	607.-782	man	woman	950.-1256	woman	boy	319.-539	boy	girl	1185.-720	girl						
en-US	3	4	image_3_4.jpg	jobs	280.-1520	jobs	teacher	248.-537	teacher	doctor	811.-463	doctor	farmer	1228.-1334	farmer	pilot	1252.-633	pilot						
en-US	4	1	image_4_1.jpg	animals	758.-1520	animals	dog	1251.-1045	dog	cat	972.-373	cat	cow	297.-767	cow									
en-US	4	2	image_4_2.jpg	animals	280.-1520	animals	bear	757.-899	bear	snake	1240.-1136	snake	monkey	751.-577	monkey									
en-US	4	3	image_4_3.jpg	cage	280.-1520	cage	chicken	280.-989	chicken	chick	1280.-482	chick	egg	1280.-1235	egg									
en-US	4	4	image_4_4.jpg	farm	280.-1520	farm	barn	394.-438	barn	pig	1324.-753	pig	hen	257.-889	hen	rooster	883.-1146	rooster						
en-US	5	1	image_5_1.jpg	wild cats	725.-1520	wildcats	leopard	298.-944	leopard	lion	1250.-1115	lion	tiger	989.-441	tiger									
en-US	5	2	image_5_2.jpg	birds	719.-914	birds	cock	1250.-368	cock	crow	299.-1479	crow	owl	1250.-1479	owl	goose	299.-368	goose						
en-US	5	3	image_5_3.jpg	insects	694.-442	insects	bee	1274.-832	bee	fly	394.-1478	fly	ladybug	617.-802	ladybug	butterfly	1249.-1359	butterfly						
en-US	5	4	image_5_4.jpg	forest	1075.-413	forest	squirrel	299.-1074	squirrel	snake	322.-472	snake	frog	1243.-704	frog	toucan	1295.-1178	toucan						
en-US	6	1	image_6_1.jpg	sea animals	735.-973	seaanimals	octopus	1054.-465	octopus	dolphin	1043.-1088	dolphin	turtle	254.-465	turtle	starfish	254.-1388	starfish						
en-US	6	2	image_6_2.jpg	wild animals	1045.-465	wildanimals	leopard	1297.-1150	leopard	boar	1060.-950	boar	deer	322.-714	deer	toucan	531.-1479	toucan						
en-US	6	3	image_6_3.jpg	farm animals	725.-637	farmanimals	hen	1321.-1355	hen	horse	690.-972	horse	sheep	1355.-842	sheep	duck	197.-1255	duck						
en-US	6	4	image_6_4.jpg	animals	728.-1480	animals	elephant	1243.-1012	elephant	giraffe	354.-1105	giraffe	buffalo	1188.-490	buffalo	zebra	473.-490	zebra						
en-US	7	1	image_7_1.jpg	actions	521.-1480	actions	walk	1316.-1295	walk	cry	253.-1149	cry	eat	313.-490	eat	sleep	880.-465	sleep						
en-US	7	2	image_7_2.jpg	actions	1118.-1509	actions	jump	1358.-686	jump	kick	710.-1042	kick	dance	710.-486	dance	swim	230.-1244	swim						
en-US	7	3	image_7_3.jpg	sky	301.-1509	sky	bird	787.-586	bird	kite	1280.-832	kite	balloon	346.-832	balloon	airplane	969.-1156	airplane						
en-US	7	4	image_7_4.jpg	sports	293.-1474	sports	swimming	857.-1168	swimming	running	1263.-443	running	cycling	745.-447	cycling	skiing	375.-1231	skiing						
en-US	8	1	image_8_1.jpg	actions	320.-1489	actions	read	553.-501	read	write	266.-1184	write	sing	1134.-501	sing	run	1260.-1213	run						
en-US	8	2	image_8_2.jpg	actions	320.-1489	actions	eat	245.-972	eat	swim	271.-540	swim	kick	1347.-586	kick	play	1105.-1392	play						
en-US	8	3	image_8_3.jpg	playing	264.-1501	playing	football	243.-834	football	swimming	1118.-1027	swimming	hide-and-seek	1248.-397	hideandseek	reading	693.-397	reading						
en-US	8	4	image_8_4.jpg	balls	417.-1501	balls	soccer ball	322.-929	soccerball	basketball	1123.-1265	basketball	baseball	1249.-581	baseball	tennis ball	321.-508	tennisball						
en-US	9	1	image_9_1.jpg	lion	1106.-1477	lion	teeth	1128.-805	teeth	mane	468.-1291	mane	legs	776.-569	legs									
en-US	9	2	image_9_2.jpg	rat	1066.-1437	rat	tail	368.-449	tail	whiskers	1214.-1085	whiskers	fur	425.-1085	fur	paw	1214.-449	paw						
