title,Tina and the Ball,book_en_333_page_0_1.m4a,book_en_333_page_0,landscape,audio,
page,1,book_en_333_page_1,wordwrap,
paragraph
sentence,book_en_333_page_1_1.m4a,0,
word,0,0.566323,Tina,en-uk_tina.m4a,0.2,
word,0.566323,0.933521,likes,en-uk_likes.m4a,0.2,
word,0.933521,1.19975,to,en-uk_to.m4a,0.2,
word,1.19975,1.53273,play,en-uk_play.m4a,0.2,
word,1.53273,1.73321,with,en-uk_with.m4a,0.2,
word,1.73321,1.94971,the,en-uk_the.m4a,0.2,
word,1.94971,2.40993,ball.,en-uk_ball.m4a,0.2,
page,2,book_en_333_page_2,wordwrap,
paragraph
sentence,book_en_333_page_2_1.m4a,0,
word,0,0.517157,Brother,en-uk_brother.m4a,0.2,
word,0.517157,0.750418,and,en-uk_and.m4a,0.2,
word,0.750418,1.31686,sister,en-uk_sister.m4a,0.2,
word,1.31686,1.56675,are,en-uk_are.m4a,0.2,
word,1.56675,2.06732,busy.,en-uk_busy.m4a,0.2,
page,3,book_en_333_page_3,wordwrap,
paragraph
sentence,book_en_333_page_3_1.m4a,0,
word,0,0.36708,“Who,en-uk_who.m4a,0.2,
word,0.36708,0.50023,can,en-uk_can.m4a,0.2,
word,0.50023,0.699874,I,en-uk_i.m4a,0.2,
word,0.699874,1.00253,play,en-uk_play.m4a,0.2,
word,1.00253,1.24429,with?”,en-uk_with.m4a,0.2,
sentence,book_en_333_page_3_2.m4a,2.24429,
word,0,0.399933,she,en-uk_she.m4a,0.2,
word,0.399933,0.970748,asks.,en-uk_asks.m4a,0.2,
page,4,book_en_333_page_4,wordwrap,
paragraph
sentence,book_en_333_page_4_1.m4a,0,
word,0,0.650515,Tina,en-uk_tina.m4a,0.2,
word,0.650515,1.05002,sees,en-uk_sees.m4a,0.2,
word,1.05002,1.31677,some,en-uk_some.m4a,0.2,
word,1.31677,1.65037,other,en-uk_other.m4a,0.2,
word,1.65037,2.17122,kids.,en-uk_kids.m4a,0.2,
page,5,book_en_333_page_5,wordwrap,
paragraph
sentence,book_en_333_page_5_1.m4a,0,
word,0,0.350406,“I,en-uk_i.m4a,0.2,
word,0.350406,0.600194,can,en-uk_can.m4a,0.2,
word,0.600194,0.817217,make,en-uk_make.m4a,0.2,
word,0.817217,1.59546,"friends,”",en-uk_friends.m4a,0.2,
sentence,book_en_333_page_5_2.m4a,2.59546,
word,0,0.533243,she,en-uk_she.m4a,0.2,
word,0.533243,1.00517,says.,en-uk_says.m4a,0.2,
page,6,book_en_333_page_6,wordwrap,
paragraph
sentence,book_en_333_page_6_1.m4a,0,
word,0,0.583205,Tina,en-uk_tina.m4a,0.2,
word,0.583205,1.34218,runs.,en-uk_runs.m4a,0.2,
page,7,book_en_333_page_7,wordwrap,
paragraph
sentence,book_en_333_page_7_1.m4a,0,
word,0,0.433132,“Will,en-uk_will.m4a,0.2,
word,0.433132,0.616347,you,en-uk_you.m4a,0.2,
word,0.616347,0.799775,play,en-uk_play.m4a,0.2,
word,0.799775,1.0661,with,en-uk_with.m4a,0.2,
word,1.0661,1.4,me?”,en-uk_me.m4a,0.2,
sentence,book_en_333_page_7_2.m4a,2.4,
word,0,0.349546,she,en-uk_she.m4a,0.2,
word,0.349546,0.981088,asks.,en-uk_asks.m4a,0.2,
page,8,book_en_333_page_8,wordwrap,
paragraph
sentence,book_en_333_page_8_1.m4a,0,
word,0,0.416334,“We,en-uk_we.m4a,0.2,
word,0.416334,0.716279,want,en-uk_want.m4a,0.2,
word,0.716279,0.966176,to,en-uk_to.m4a,0.2,
word,0.966176,1.41295,play!”,en-uk_play.m4a,0.2,
sentence,book_en_333_page_8_2.m4a,2.41295,
word,0,0.299477,the,en-uk_the.m4a,0.2,
word,0.299477,0.599634,kids,en-uk_kids.m4a,0.2,
word,0.599634,1.02975,say.,en-uk_say.m4a,0.2,
