#missing_number - questionoption1: 숫자 간 간격 / questionoption2: 괄호 위치(미지정 시 랜덤) / questionoption3: ascending, descending 지정 가능, 없으면 둘 중 하나 / answerpoint1: 시작 수 세팅 (10=10의 배수, 5=5의 배수..), 없으면 랜덤                                                                                         #operations_with_objects - questionoption2: regroupingtrue시 받아올림,받아내림 강제. regroupingfalse시 받아올림, 받아내림 없음. 없으면 둘 중 하나.                                                                                         #operations_without_objects - questionoption3: vertical시 세로 연산. horizontal시 가로 연산. 없으면 둘 중 하나.                                                                                         #biggest_and_smallest - questionoption1: biggest시 가장 큰 수. smallest시 가장 작은 수.                                                                                         #bigger_and_smaller - questionoption1: bigger시 더 큰 수. smaller시 더 작은 수. / questionoption2: image, number 지정, 없으면 둘 중 하나 / questionoption3: image의 경우 lineup을 기재하면 정렬됨                                                                                         #compare_number_magnitudes - questionoption1: ascending, descending 지정 가능, 없으면 둘 중 하나 / answeroption1: 숫자 간 간격 지정, 없으면 지정하지 않음.                                                                                         #shapes - questionoption1: 질문, 음성 파일 명과 일치해야 함 / answerrange: 항목 중 답변을 하나 선택. 이미지 파일 명과 일치해야 함 / answeroption1 항목 중 보기 선택. 이미지 파일 명과 일치해야 함"
#level	worksheet	leveltypesequence	type	templatename	questionoption1	questionoption2	questionoption3	questionoption4	questionoption5	answer	answeroption1			
PostTest_1	1	1001, 1001, 1002, 1002, 1003, 1004, 1004, 1005, 1005, 1006												
			1001	single_digit_numbers	কতগুলো?					1~5				
			1002	single_digit_numbers	কতগুলো?					4~9				
			1003	2digit_numbers	কতগুলো?					10	5~10			
			1004	recognize_number						1~9				
			1005	number_identification						1~9				
			1006	recognize_number						10	5~10			
PostTest_2	1	2001, 2002, 2001~2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009												
			2001	2digit_numbers	কতগুলো?					11~15				
			2002	2digit_numbers	কতগুলো?					16~20				
			2003	recognize_number						16~19				
			2004	recognize_number						20	11~20			
			2005	number_identification						11~15				
			2006	bigger_and_smaller	bigger	image	lineup	কোন দল বড়?	কোন দল বড়?	1~10				
			2007	bigger_and_smaller	smaller	image	lineup	কোন দল ছোট?	 কোন দল ছোট?	1~10				
			2008	bigger_and_smaller	bigger	number		কোনটি বড়?	 কোনটি বড়?	1~10				
			2009	bigger_and_smaller	smaller	number		কোনটি ছোট?	কোনটি ছোট?	1~10				
MiniTest_3_1	1	31001, 31002, 31003, 31004, 31005												
			31001	2digit_numbers	কতগুলো?					10~20				
			31002	2digit_numbers	কতগুলো?					17~20				
			31003	recognize_number						1~20				
			31004	number_identification						11~19				
			31005	missing_number_drag	1	4	ascending			1~5				
MiniTest_3_2	1	32001, 32001, 32002, 32002, 32003												
			32001	operations_with_objects	1~4+1~4=?					2~5				
			32002	operations_with_objects	2~5-1~4=?					1~4				
			32003	missing_number_drag	1	4	descending			1~5				
MiniTest_3_3	1	33001, 33002, 33003, 33004, 33005												
			33001	bigger_and_smaller	bigger	number		কোনটি বড়?	 কোনটি বড়?	1~10				
			33002	bigger_and_smaller	smaller	number		কোনটি ছোট?	কোনটি ছোট?	1~10				
			33003	biggest_and_smallest	biggest	কোনটি সবচেয়ে বড়?	কোনটি সবচেয়ে বড়?			1~10				
			33004	biggest_and_smallest	smallest	কোনটি সবচেয়ে ছোট?	কোনটি সবচেয়ে ছোট?			1~10				
			33005	compare_number_magnitudes	ascending	ছোটো থেকে বড় ক্রমে লেখো	ছোটো থেকে বড় ক্রমে লেখো			1~10				
PostTest_3	1	3001, 3002, 3003~3004, 3005, 3006, 3007~3008, 3009, 3010, 3011, 3012												
			3001	2digit_numbers	কতগুলো?					21~50				
			3002	recognize_number						21~50				
			3003	bigger_and_smaller	bigger	number		কোনটি বড়?	 কোনটি বড়?	1~20				
			3004	bigger_and_smaller	smaller	number		কোনটি ছোট?	কোনটি ছোট?	1~20				
			3005	compare_number_magnitudes	ascending	ছোটো থেকে বড় ক্রমে লেখো	ছোটো থেকে বড় ক্রমে লেখো			1~10				
			3006	compare_number_magnitudes	ascending	ছোটো থেকে বড় ক্রমে লেখো	ছোটো থেকে বড় ক্রমে লেখো			1~20				
			3007	biggest_and_smallest	biggest	কোনটি সবচেয়ে বড়?	কোনটি সবচেয়ে বড়?			1~20				
			3008	biggest_and_smallest	smallest	কোনটি সবচেয়ে ছোট?	কোনটি সবচেয়ে ছোট?			1~20				
			3009	missing_number_drag	1	3	ascending			1~10				
			3010	missing_number_drag	1	4	descending			1~10				
			3011	operations_with_objects	1~10+1~10=?	regroupingfalse				1~10				
			3012	operations_with_objects	1~10-1~10=?	regroupingfalse				1~10				
MiniTest_4_1	1	41001, 41002, 41003, 41004, 41005												
			41001	recognize_number						21~50				
			41002	number_identification						51~99				
			41003	compare_number_magnitudes	ascending	ছোটো থেকে বড় ক্রমে লেখো	ছোটো থেকে বড় ক্রমে লেখো			1~20				
			41004	missing_number_drag	1	4	ascending			1~10				
			41005	bigger_and_smaller	bigger	number		কোনটি বড়?	 কোনটি বড়?	20~50				
MiniTest_4_2	1	42001, 42002, 42003, 42004, 42005~42008												
			42001	2digit_numbers	কতগুলো?					51~100				
